	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
2401117	2101001	2	{}		100		十香露出向日葵般的灿烂笑容	1	{}			{}	{}					2401118		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2401118	2101001	2	{}		100	夜刀神十香	「嗯咕嗯咕~~姆~~姆~~黄豆粉面包太棒了~~~」	1	{}			{}	{}					2401119		1			id_pose_9		id_look_4	103_eff	id_sun	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2401119	2101001	2	{}		100		十香的口中塞满了黄豆粉面包，一边不断咀嚼着，一边口齿不清感叹着	1	{}			{}	{}				1	2401120		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2401120	2101001	2	{}		100		突然间脑海中浮现出一个困扰很久的一个问题	1	{}			{}	{}					2501101-2501201	5	1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2401202	2101001	2	{}		100	夜刀神十香	「哦！哦！我对黄豆粉面包的爱可不会输给他们！」	1	{}			{}	{}					2401203		10107			id_pose_11		id_look_4	103_eff	id_gas	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2401203	2101001	2	{}		100	1	「冷静一下，十香……」	1	{}			{}	{}					2401204		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401204	2101001	2	{}		100		其实我只想买点面包就回家……	1	{}			{}	{}					2401205		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401205	2101001	2	{}		100	夜刀神十香	「我也要参加！我也要参加！」	1	{}			{}	{}					2401206		1			id_pose_10		id_look_8	103_eff	id_idea	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2401206	2101001	2	{}		100	路人A	「小姑娘很有干劲嘛！我看好你」	1	{}			{}	{}					2401207		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401207	2101001	2	{}		100	路人B	「我要是有你这样的女儿该多好……呜呜呜……」	1	{}			{}	{}					2401208		1			id_pose_10		id_look_7			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401208	2101001	2	{}		100		……	1	{}			{}	{}					2401209		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401209	2101001	2	{}		100	夜刀神十香	「我们也去参加吧！ %s 」	1	{}			{}	{}					2401210		1			id_pose_10		id_look_3	103_eff	id_sun	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2401210	2101001	2	{}		100	1	「这个……好吧」	1	{}			{}	{}					2401211		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401211	2101001	2	{}		100		虽然并不是特别想参加，但一看到十香闪闪发光的眼睛就不忍拒绝	1	{}			{}	{}					2401212		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401212	2101001	2	{}		100	店长	「咳咳……试麦……试麦……」	1	{}			{}	{}					2401213		1			id_pose_10		id_look_7			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401213	2101001	2	{}		100	店长	「各位准备参加大胃王比赛的选手大家好。初次见面，我是这家店的店长」	1	{}			{}	{}					2401214		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401214	2101001	2	{}		100	店长	「关于本次大胃王比赛，依旧以2人组队的形式进行，如果准备好了请到收银台报名领取编号……」	1	{}			{}	{}					2401215		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401215	2101001	2	{}		100		还没等店长的致辞结束，大家都一窝蜂冲向报名点	1	{}			{}	{}					2401216		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401216	2101001	2	{}		100		正当我将被十香拖进拥挤的人群时，衣服突然被一双手从后面拽住	1	{}			{}	{}					2401217		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401217	2101001	2	{}		100	鸢一折纸	「来吧 %s ，来和我一起进行甜蜜的二人组队」	1	{}			{}	{}					2401218		10107			id_pose_10		id_look_7			4	{}	1.4	10204			id_pose_1		id_look_4			5	{}	1.4										{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401218	2101001	2	{}		100	1	「折、折纸……？你为什么在这里？」	1	{}			{}	{}					2401219		1								4	{}	1.4	1								5	{}	1.4										{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401219	2101001	2	{}		100	鸢一折纸	「这并不重要， %s 快从那个危险的女人旁边离开」	1	{}			{}	{}					2401220		1								4	{}	1.4	1								5	{}	1.4										{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401220	2101001	2	{}		100	夜刀神十香	「真是不解风情！不要打扰我和 %s 组队！」	1	{}			{}	{}					2401221		1			id_pose_10		id_look_2			4	{}	1.4	1			id_pose_13		id_look_3			5	{}	1.4										{}										1.2		{}			sound/role/yuyin_shixiang_5.mp3								1						{}	{}					{}	{}		{}		
2401221	2101001	2	{}		100	鸢一折纸	「完全否定，和 %s 组队的人应该是身为恋人的我」	1	{}			{}	{}				1	2401222		1								4	{}	1.4	1								5	{}	1.4										{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401222	2101001	2	{}		100		诶……虽然很难做出决定，但报名快要截止了。	1	{}			{}	{}					2502101-2502301-2502401	5	1								4	{}	1.4	1								5	{}	1.4										{}										1.2		{}											1						{}	{}					{}	{}		{}		
2402101	2101001	2	{}		100		「豪华奶酪面包家庭装」	1	{}			{}	{}					2402102	1	10107			id_pose_9		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2402201	2101001	2	{}		100		「樱花豆沙面包」	1	{}			{}	{}					2402202	7	10107			id_pose_9		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2402301	2101001	2	{}		100		「樱花豆沙面包」	1	{}			{}	{}					2402302	1	10107			id_pose_9		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2402401	2101001	2	{}		100		「黄豆粉面包」	1	{}			{}	{}					2402402	1	10107			id_pose_9		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									30	1						{}	{}					{}	{}		{}		
2402102	2101001	2	{}		100	夜刀神十香	「哦！！！」	1	{}			{}	{}					2402103	2	10107			id_pose_12		id_look_4	103_eff	id_sun	3	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2402103	2101001	2	{}		100		豪华奶酪面包家庭装的确足够豪华	1	{}			{}	{}					2402104		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2402104	2101001	2	{}		100		仅一份就轻易地堆满了整个餐桌	1	{}			{}	{}					2402105		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2402105	2101001	2	{}		100		不过价格也很感人罢了……	1	{}			{}	{}					2402106		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2402106	2101001	2	{}		100		我有些肉疼地摸了摸廋了一圈的钱包，正准备伸出手抓向面包时	1	{}			{}	{}					2402107		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2402107	2101001	2	{}		100	夜刀神十香	「实在太好吃啦！！」	1	{}			{}	{}					2402108		1			id_pose_14		id_look_4	103_eff	id_sun	2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2402108	2101001	2	{}		100	夜刀神十香	「唔姆！吃完了！」	1	{}			{}	{}					2402109		1								2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2402109	2101001	2	{}		100		…………………………	1	{}			{}	{}					2402110		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2402110	2101001	2	{}		100		我简直惊呆了，半天说不出一句话，就这么稍稍一愣神的功夫……	1	{}			{}	{}					2402111		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2402111	2101001	2	{}		100	夜刀神十香	「唔…… %s ，我还想要……」	1	{}			{}	{}					2402112		1			id_pose_6		id_look_5	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2402112	2101001	2	{}		100		十香瞪圆了眼睛，嘴上还残留着些许面包屑，一副很困扰的样子	1	{}			{}	{}				1	2402113		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2402113	2101001	2	{}		100	夜刀神十香	「 %s ……」	1	{}			{}	{}					2503101-2503201-2503301	5	1								2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_5.mp3								1						{}	{}					{}	{}		{}		
2402202	2101001	2	{}		100		不经意间看到货架上贴着展示牌，似乎是新口味的面包	1	{}			{}	{}					2402203		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2402203	2101001	2	{}		100	夜刀神十香	「唔姆？豆沙是什么？和黄豆粉一样么？」	1	{}			{}	{}					2402204		10107			id_pose_10		id_look_7	103_eff	id_sweat	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2402204	2101001	2	{}		100	1	「豆沙是红豆哦，味道和黄豆粉面包不一样的」	1	{}			{}	{}					2402205		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402205	2101001	2	{}		100	夜刀神十香	「唔姆？那樱花呢？花也可以吃么？」	1	{}			{}	{}					2402206		1			id_pose_10		id_look_3			2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2402206	2101001	2	{}		100	1	「可以的哦」	1	{}			{}	{}					2402207		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402207	2101001	2	{}		100		每当遇到没见过的东西时，十香就显得特别兴奋，尤其是在食物方面	1	{}			{}	{}					2402208		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402208	2101001	2	{}		100	1	「其实我也没有吃过啦，要不要尝试一下？」	1	{}			{}	{}					2402209		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402209	2101001	2	{}		100	夜刀神十香	「唔姆！」	1	{}			{}	{}					2402210		1			id_pose_9		id_look_4	103_eff	id_sun	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2402210	2101001	2	{}		100	老板	「实在抱歉，两位客人，樱花豆沙面包已经卖完啦」	1	{}			{}	{}					2402211		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402211	2101001	2	{}		100	夜刀神十香	「诶？好可惜」	1	{}			{}	{}					2402212		1			id_pose_6		id_look_1			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_5.mp3								1						{}	{}					{}	{}		{}		
2402212	2101001	2	{}		100	老板	「晚些时候会再出炉一箱樱花豆沙面包，欢迎届时光临~」	1	{}			{}	{}					2402213		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2402213	2101001	2	{}		100	1	「好的，谢谢啦！」	1	{}			{}	{}				1	2402214		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2402214	2101001	2	{}		100		那么现在吃点什么呢	1	{}			{}	{}					2504101-2504201	5	10107			id_pose_6		id_look_5			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2402302	2101001	2	{}		100		不经意间看到货架上贴着展示牌，似乎是新口味的面包	1	{}			{}	{}					2402303		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2402303	2101001	2	{}		100	夜刀神十香	「唔姆？豆沙是什么？和黄豆粉一样么？」	1	{}			{}	{}					2402304		10107			id_pose_6		id_look_7	103_eff	id_sweat	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2402304	2101001	2	{}		100	1	「豆沙是红豆哦，味道和黄豆粉面包不一样的」	1	{}			{}	{}					2402305		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402305	2101001	2	{}		100	夜刀神十香	「唔姆？那樱花呢？花也可以吃么？」	1	{}			{}	{}					2402306		1			id_pose_6		id_look_3			2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_5.mp3								1						{}	{}					{}	{}		{}		
2402306	2101001	2	{}		100	1	「可以的哦」	1	{}			{}	{}					2402307		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402307	2101001	2	{}		100		每当遇到没见过的东西时，十香就显得特别兴奋，尤其是在食物方面	1	{}			{}	{}					2402308		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402308	2101001	2	{}		100	1	「其实我也没有吃过啦，要不要尝试一下？」	1	{}			{}	{}					2402309		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402309	2101001	2	{}		100	夜刀神十香	「唔姆！」	1	{}			{}	{}					2402310		1			id_pose_9		id_look_4	103_eff	id_sun	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2402310	2101001	2	{}		100	老板	「好的，这是刚出炉的樱花豆沙面包，谢谢惠顾~」	1	{}			{}	{}					2402311		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402311	2101001	2	{}		100		毕竟是新上市的的面包，也不知道味道到底怎么样	1	{}			{}	{}					2402312		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2402312	2101001	2	{}		100	夜刀神十香	「诶！这个面包外形和樱花一样！好厉害！」	1	{}			{}	{}					2402313		1			id_pose_12		id_look_3			2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2402313	2101001	2	{}		100		十香捧着精致的樱花豆沙面包说道	1	{}			{}	{}					1002402314		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
1002402314	2101001	2	{}		100			1	{}			{}	{}				2	2402314											{}											{}											{}							scene/cg/date_cg_3.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
2402314	2101001	2	{}		100	夜刀神十香	「会是什么味道呢？」	1	{}			{}	{}					2402315		1			id_pose_12		id_look_4	103_eff	id_sweat	2	{}	1.4										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3				date_cg_2	3									{}	{}					{}	{}		{}		
2402315	2101001	2	{}		100	1	「嘿嘿，你咬一口就知道啦」	1	{}			{}	{}					2402316		1								2	{}	1.4										{}											{}										1		{}																	{}	{}					{}	{}		{}		
2402316	2101001	2	{}		100	夜刀神十香	「？」	1	{}			{}	{}					2402317		1								2	{}	1.4										{}											{}										1		{}																	{}	{}					{}	{}		{}		
2402317	2101001	2	{}		100		十香忐忑地咬破面包的酥皮	1	{}			{}	{}					1002402318		1								2	{}	1.4										{}											{}										1		{}																	{}	{}					{}	{}		{}		
1002402318	2101001	2	{}		100			1	{}			{}	{}					2402318											{}											{}											{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
2402318	2101001	2	{}		100		突然从十香瞪圆的双眼里冒出从未有过的光芒	1	{}			{}	{}				1	2402319		1			id_pose_12		id_look_7	103_eff	id_sun	2	{}	1.4										{}											{}										1		{}																	{}	{}					{}	{}		{}		
