	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
101403	101010114	1	{}		100			1	{}				{}				101404													{}											{}											{}							scene/bg/bg_yinpindian.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101404	101010114	1	{}		100		一对亲密聊天的男女引起了我的注意。	1	{}				{}				101405													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101405	101010114	1	{}		100			1	{}				{}				101406													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101406	101010114	1	{}		100	神无月恭平	“这可是超爆款、断销级别的饮品，口感怎么样啊？”	1	{}				{}				101407													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101407	101010114	1	{}		100		1	1	{}				{}				101408													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101408	101010114	1	{}		100	村雨令音	“这种只有少女才关注的事，你是怎么弄清楚的？”	1	{}				{}				101409													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101409	101010114	1	{}		100	神无月恭平	“那是因为司令经常光顾这家店啊！”	1	{}				{}				101410													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101410	101010114	1	{}		100	村雨令音	“所以，你私底下都在做这种悄悄跟踪司令的事吗？”	1	{}				{}				101411													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101411	101010114	1	{}		100	神无月恭平	“那也不能怪我啊！我一想到这些杯子里残留着司令那少女的芬芳……”	1	{}				{}				101412													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101412	101010114	1	{}		100		前面的神无月与令音小姐聊得很火热，我要不要过去呢？	1	{}				{}				101413-101431-101446													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101413	101010114	1			100		买一杯饮料，热情地坐过去	1	{}				{}				101414	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:-2,101102:3,101103:-1}}							{}	{}	{}	{}
101414	101010114	1	{}		100		1	1	{}				{}				101415													{}	1.6										{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101415	101010114	1	{}		100	1	“那个，因为位子比较紧缺，我可以坐过来吗？”	1	{}				{}				101416													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101416	101010114	1	{}		100	村雨令音	“%s，竟然会在这里碰到你。”	1	{}				{}				101417													{}											{}											{}												{}	sound/bgm/date_002.mp3																{}	{}					{}	{}							{}	{}	{}	{}
101417	101010114	1	{}		100		1	1	{}				{}				101418													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101418	101010114	1	{}		100			1	{}				{}				101419													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101419	101010114	1	{}		100	神无月恭平	“啊呀，就这么随便地坐过来，是打算破坏我和令音小姐的约会吗！”	1	{}				{}				101420													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101420	101010114	1	{}		100	1	“什！……令音小姐，你怎么会和神无月先生……”	1	{}				{}				101421													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101421	101010114	1	{}		100	神无月恭平	“……%s君，你的话题切入点有点奇怪哟。”	1	{}				{}				101422													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101422	101010114	1	{}		100	1	“那个……对不起，我不是那个意思。”	1	{}				{}				101423													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101423	101010114	1	{}		100	神无月恭平	“算了，因为令音小姐想要安静的环境，所以我们该走了。”	1	{}				{}				101424													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101424	101010114	1	{}		100			1	{}				{}				101425													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101425	101010114	1	{}		100		神无月挽着令音小姐的手，向门口走去。	1	{}				{}				101426													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101426	101010114	1	{}		100			1	{}				{}				101427													{}											{}											{}							scene/bg/bg_yinpindian.png	1		1.5	-1	{"x":-284,"y":-160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101427	101010114	1	{}		100		1	1	{}				{}				101428													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101428	101010114	1	{}		100	村雨令音	“那么下次见。”	1	{}				{}				101429													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101429	101010114	1	{}		100		1	1	{}				{}				101430													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101430	101010114	1	{}		100		令音小姐向我挥了挥手，仿佛很享受约会时光，这两个人怎么回事啊？！	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101431	101010114	1			100		礼貌地上前打招呼	1	{}				{}				101432	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:3,101102:-1,101103:2}}							{}	{}	{}	{}
101432	101010114	1	{}		100	1	“神无月先生、令音小姐，你们这是在……”	1	{}				{}				101433													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101433	101010114	1	{}		100	村雨令音	“%s，竟然会在这里碰到你。”	1	{}				{}				101434													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101434	101010114	1	{}		100	神无月恭平	“啊呀，这不是%s君吗？“	1	{}				{}				101435													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101435	101010114	1	{}		100	神无月恭平	“不要误会，我和令音小姐只是在单纯的约会哦！”	1	{}				{}				101436													{}											{}											{}												{}	sound/bgm/date_002.mp3																{}	{}					{}	{}							{}	{}	{}	{}
101436	101010114	1	{}		100	1	“什！——令音小姐，你怎么会和神无月先生……”	1	{}				{}				101437													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101437	101010114	1	{}		100	神无月恭平	“……%s君，你的话题切入点有点奇怪哟。”	1	{}				{}				101438													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101438	101010114	1	{}		100	1	“那个……对不起，我不是那个意思。”	1	{}				{}				101439													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101439	101010114	1	{}		100	神无月恭平	“算了，因为令音小姐想要安静的环境，所以我们该走了。”	1	{}				{}				101440													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101440	101010114	1	{}		100		神无月挽着令音小姐的手，向门口走去。	1	{}				{}				101441													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101441	101010114	1	{}		100			1	{}				{}				101442													{}											{}											{}							scene/bg/bg_yinpindian.png	1		1.5	-1	{"x":-284,"y":-160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101442	101010114	1	{}		100		1	1	{}				{}				101443													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101443	101010114	1	{}		100	村雨令音	“那么下次见，告辞了。”	1	{}				{}				101444													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101444	101010114	1	{}		100		1	1	{}				{}				101445													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101445	101010114	1	{}		100		令音小姐仿佛很享受约会时光，这两个人怎么回事啊？！	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101446	101010114	1			100		躲在一旁偷听	1	{}				{}				101447	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:-1,101102:-2,101103:3}}							{}	{}	{}	{}
101447	101010114	1	{}		100		1	1	{}				{}				101448													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101448	101010114	1	{}		100			1	{}				{}				101449													{}											{}											{}							scene/bg/bg_yinpindian.png	1		1.3	-1	{"x":51,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101449	101010114	1	{}		100		这两人好像是在执行什么秘密任务，我还是不要上去打扰得好。	1	{}				{}				101450													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101450	101010114	1	{}		100		我站在门口听了一会儿，发现两人的对话怎么都像是一对恋人在约会。	1	{}				{}				101451													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101451	101010114	1	{}		100		加上他们惬意的表情，这到底是怎么回事啊？！	1	{}				{}				101452													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101452	101010114	1	{}		100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101501	101010115	1	{}		100			1	{}				{}				101502	4												{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101502	101010115	1	{}		100		走在大街上，在阳光无情地曝晒下，我的喉咙几乎要冒烟。	1	{}				{}				101503													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101503	101010115	1	{}		100		没办法了，先到超市里买点喝的吧。	1	{}				{}				101504													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101504	101010115	1	{}		100			1	{}				{}				101505													{}											{}											{}							scene/bg/bg_chaoshi.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101505	101010115	1	{}		100			1	{}				{}				101506													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101506	101010115	1	{}		100	叶樱麻衣	“欢迎光临，本超市最近在做鳕鱼汤料理的活动哦。”	1	{}				{}				101507													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101507	101010115	1	{}		100		今天的看板娘……竟然是麻衣？	1	{}				{}				101508													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101508	101010115	1	{}		100		1	1	{}				{}				101509													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101509	101010115	1	{}		100	叶樱麻衣	“哎呀？这不是%s君吗？”	1	{}				{}				101510													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101510	101010115	1	{}		100	1	“好巧……麻衣同学，你今天也在帮超市做活动啊？”	1	{}				{}				101511													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101511	101010115	1	{}		100	叶樱麻衣	“没错，买一份鳕鱼汤速食装，送鱼汤料理食谱哦，%s君要买吗？”	1	{}				{}				101512													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101512	101010115	1	{}		100	1	“说起来最近我也在研究鱼汤的做法，能先看看食谱吗？”	1	{}				{}				101513													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101513	101010115	1	{}		100			1	{}				{}				101514													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101514	101010115	1	{}		100		麻衣点了点头，在旁边厚厚一摞食谱中取下一本给我。	1	{}				{}				101515													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101515	101010115	1	{}		100			1	{}				{}				101516													{}											{}											{}							scene/bg/bg_chaoshi.png	1		1.5	-1	{"x":284,"y":-160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101516	101010115	1	{}		100		翻看了一下食谱的内容，发现了【鲜活料理】的方法，感觉有些残忍。	1	{}				{}				101517													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101517	101010115	1	{}		100	1	“看样子这种食谱不适合我呢。”	1	{}				{}				101518													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
