	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	1-5章增加音效与BGM	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
1021026	1002	7	{}		100		你应该先报上自己的名字吧！	1	{}			{}	{}					1021027											{}											{}											{}															{}										0	1					{}	{}					{}	{}		{}		
1021027	1002	7	{}		100		少女的皱起眉头，看样子是准备对我发动攻击了。	1	{}			{}	{}					1021028											{}											{}											{}															{}											1					{}	{}					{}	{}		{}		
1021028	1002	7	{}		100		1	1	{}			{}	{}					1021029											{}											{}											{}										scene/bg/bg_jiaoshipohuai1.png	1		1.2	-1	{}												1	1			{}	{}					{}	{}		{}		
1021029	1002	7	{}		100	1	请你先告诉我你的名字吧！	1	{}			{}	{}					1021030		10101	3		id_pose_2		id_look_6			2	{}	1.2										{}											{}															{}											1					{}	{}					{}	{}		{}		
1021030	1002	7	{}		100		少女用威胁的眼光看向我，手中出现了一个黑色的光球。	1	{}			{}	{}					1021031		1			id_guangqiu		0				{}											{}											{}															{}	sound/bgm/date_012.mp3	70				sound/dating_sound/FB_eff03.mp3					1					{}	{}					{}	{}		{}		
1021031	1002	7	{}		100	1	啊啊啊啊别杀我！告诉我你叫什么名字，我就什么都告诉你。	1	{}			{}	{}					1021032		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
1021032	1002	7	{}		100		我颤颤巍巍地面对这位迷之少女，对方黑着脸给我下达了最后通牒。	1	{}			{}	{}					1021033		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021033	1002	7	{}		100	无名少女	这是最后一次。不回答的话，就判断你为敌人！	1	{}			{}	{}					1021034		1			id_pose_9	1	id_look_6				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka5.mp3	1												{}	{}					{}	{}		{}		
1021034	1002	7	{}		100	1	我是%s，是这里的[学生]！我是不会与你为敌的。	1	{}			{}	{}					1021035		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021035	1002	7	{}		100		我惊慌地回答，身体不自觉地后退了半步。	1	{}			{}	{}					1021036		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021036	1002	7	{}		100	无名少女	不许动！你现在处在我的攻击范围内。	1	{}			{}	{}					1021037		1			id_pose_9	1	id_look_6				{}											{}											{}		0.1-7-9-5-0.024	4												{}			modle/bust/sounds/DP_01_Tohka6.mp3	1												{}	{}					{}	{}		{}		
1021037	1002	7	{}		100	无名少女	那么我问你，如果你不是想要杀我，为什么会出现在这里？	1	{}			{}	{}					1021038		1			id_normal_4	1	0				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka7.mp3	1												{}	{}					{}	{}		{}		
1021038	1002	7	{}		100	1	那个……	1	{}			{}	{}				1	1021039		1									{}											{}											{}															{}											1					{}	{}					{}	{}		{}		
1021039	1002	7	{}		100	五河琴里	选项又出现了，快点哦！	1	{}			{}	{}					1021040-1021041-1021042		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_01_Kotori45.mp3								1					{}	{}					{}	{}		{}		
1021040	1002	7	{}		100		当然是为了与你相见啊！	1	{}			{}	{}					1021048		1									{}											{}											{}															{}										0	1					{}	{}					{}	{}		{}		
1021041	1002	7	{}		100		那种无关紧要的事，怎样都好吧。	1	{}			{}	{}					1021043		1									{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
1021042	1002	7	{}		100		是偶然，偶然而已~	1	{}			{}	{}					1021045		1									{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
1021043	1002	7	{}		100	无名少女	回答我的问题！	1	{}			{}	{}					1021044		1			id_normal_4		0				{}											{}											{}		0.1-7-9-5-0.024	4												{}			modle/bust/sounds/DP_01_Tohka8.mp3	1		sound/dating_sound/FB_eff11.mp3					1					{}	{}					{}	{}		{}		
1021044	1002	7	{}		100	五河琴里	看来没办法敷衍她啊。	1	{}			{}	{}					1021047		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_01_Kotori46.mp3								1					{}	{}					{}	{}		{}		
1021045	1002	7	{}		100	无名少女	真的是偶然？你不会是在欺骗我吧？	1	{}			{}	{}					1021046		1			id_pose_2	1	id_look_6				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka9.mp3	1		sound/dating_sound/FB_eff11.mp3										{}	{}					{}	{}		{}		
1021046	1002	7	{}		100	五河琴里	你真是不擅长撒谎，“公主”已经产生怀疑了。	1	{}			{}	{}					1021047		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_01_Kotori47.mp3													{}	{}					{}	{}		{}		
1021047	1002	7	{}		100	1	其实我是为了见到你才来这里的。	1	{}			{}	{}					1021048		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021048	1002	7	{}		100	无名少女	见我？\n为什么要见我？	1	{}			{}	{}					1021049		1			id_normal_13		0				{}											{}											{}															{}	sound/bgm/date_013.mp3	70	modle/bust/sounds/DP_01_Tohka10.mp3	1												{}	{}					{}	{}		{}		
1021049	1002	7	{}		100	五河琴里	看来警戒心很强啊。	1	{}			{}	{}					1021050		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_01_Kotori48.mp3													{}	{}					{}	{}		{}		
1021050	1002	7	{}		100	1	琴里,怎么回答她？	1	{}			{}	{}					1021051		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021051	1002	7	{}		100	无名少女	怎么了，不能说么？你是毫无理由在我身边出现的么？还是说……	1	{}			{}	{}				1	1021053		1			id_normal_9	1	0				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka11.mp3	1												{}	{}					{}	{}		{}		
1021053	1002	7	{}		100		少女的眼神又突然变得可怕起来，我慌张地挥着手发出声音。	1	{}			{}	{}					1021054-1021055-1021056		1									{}											{}											{}															{}											1					{}	{}					{}	{}		{}		
1021054	1002	7	{}		100		是、是为了与你相爱！	1	{}			{}	{}					1021058		1									{}											{}											{}															{}										0	1					{}	{}					{}	{}		{}		
1021055	1002	7	{}		100		异性相吸！就是因为异性相吸！	1	{}			{}	{}					1021058		1									{}											{}											{}															{}										0	1					{}	{}					{}	{}		{}		
1021056	1002	7	{}		100		让我们相遇的是不可抗拒的爱啊！	1	{}			{}	{}					1021058		1									{}											{}											{}															{}										0	1					{}	{}					{}	{}		{}		
1021057	1002	7	{}		100		我们会在一起，都是命运的选择……	1	{}			{}	{}					1021058		1									{}											{}											{}															{}										0	1					{}	{}					{}	{}		{}		
1021058	1002	7	{}		100	无名少女	不要开玩笑。	1	{}			{}	{}					1021059		1			id_pose_2	1	id_look_6				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka12.mp3	1		sound/dating_sound/FB_eff11.mp3					1					{}	{}					{}	{}		{}		
1021059	1002	7	{}		100		慌张的情绪沉淀了下来，我深吸一口气。	1	{}			{}	{}					1021060		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021060	1002	7	{}		100	1	……我确实是为了与你说话才到这里来的。	1	{}			{}	{}					1021061		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021061	1002	7	{}		100	无名少女	什么意思？	1	{}			{}	{}					1021062		1			id_normal_13	1	0				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka13.mp3	1												{}	{}					{}	{}		{}		
1021062	1002	7	{}		100	1	意思就是：\n我想和你说话，内容是什么都无所谓。	1	{}			{}	{}					1021063		1									{}											{}											{}															{}	sound/bgm/date_013.mp3	70														{}	{}					{}	{}		{}		
1021063	1002	7	{}		100		1	1	{}			{}	{}					1021064				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
1021064	1002	7	{}		100			1	{}			{}	{}					1021065											{}											{}											{}										scene/bg/bg_jiaoshipohuai1.png	1		1.3	-1	{"x":-171,"y":0}												1	1			{}	{}					{}	{}		{}		
1021065	1002	7	{}		100			1	{}			{}	{}					1021066											{}											{}											{}										scene/bg/bg_jiaoshipohuai1.png	1		1.3	10	{"x":170,"y":0}												1	1			{}	{}					{}	{}		{}		
1021066	1002	7	{}		100		至今为止，没有一个人对这个少女伸出过援手。	1	{}			{}	{}					1021067											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021067	1002	7	{}		100		明明可能一句话就能改变这种状况……	1	{}			{}	{}					1021068											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021068	1002	7	{}		100		但是一个也没有的话，那就让我来说吧。	1	{}			{}	{}					1021069											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021069	1002	7	{}		100			1	{}			{}	{}					1021070											{}											{}											{}										scene/bg/bg_jiaoshipohuai1.png	1		1.3	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
1021070	1002	7	{}		100	1	我不会否定你！	1	{}			{}	{}					1021071		10101	3		id_pose_2	1	id_look_1			2	{}	1.2										{}											{}															{}										20	1					{}	{}					{}	{}		{}		
1021071	1002	7	{}		100		少女皱着眉头，片刻间的沉默之后，轻轻地张开嘴唇。	1	{}			{}	{}					1021072		1				1					{}											{}											{}															{}											1					{}	{}					{}	{}		{}		
1021072	1002	7	{}		100	无名少女	你真的，不否定我么？	1	{}			{}	{}					1021073		1			id_normal_13	1	0				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka15.mp3	1							1					{}	{}					{}	{}		{}		
1021073	1002	7	{}		100	1	是真的！	1	{}			{}	{}					1021075		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021075	1002	7	{}		100	无名少女	真的是真的么？	1	{}			{}	{}					1021076		1			id_pose_12	1	id_look_2				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka16.mp3	1												{}	{}					{}	{}		{}		
1021076	1002	7	{}		100	1	真的是真的！	1	{}			{}	{}					1021078		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021078	1002	7	{}		100	无名少女	真的真的是真的么？	1	{}			{}	{}					1021079		1			id_pose_11	1	id_look_3				{}	1.4										{}											{}															{}			modle/bust/sounds/DP_01_Tohka17.mp3	1												{}	{}					{}	{}		{}		
1021079	1002	7	{}		100	1	真的真的是真的！	1	{}			{}	{}					1021080		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021080	1002	7	{}		100		1	1	{}			{}	{}					1021081		1									{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
1021081	1002	7	{}		100	无名少女	哼，谁会被这种话骗了啊！？白痴！	1	{}			{}	{}					1021082		1									{}	1.2										{}											{}															{}	sound/bgm/date_015.mp3	70	modle/bust/sounds/DP_01_Tohka18.mp3	1												{}	{}					{}	{}		{}		
1021082	1002	7	{}		100	无名少女	不过啊，我虽然不知道你在想什么，但你是第一个正经和我对话的人类。	1	{}			{}	{}					1021083		1			id_normal_9	1	0				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka19.mp3	1												{}	{}					{}	{}		{}		
1021083	1002	7	{}		100	无名少女	为了得到这个世界的情报，你就稍微让我利用下吧。	1	{}			{}	{}					1021084		1			id_normal_6	1	0				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka20.mp3	1												{}	{}					{}	{}		{}		
1021084	1002	7	{}		100	无名少女	没错，是为了得到情报。\n唔呣，情报超重要,说说话还是可以的。	1	{}			{}	{}					1021085		1			id_pose_12	1	id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka21.mp3	1												{}	{}					{}	{}		{}		
1021085	1002	7	{}		100		少女的表情看起来稍微柔和了一些。	1	{}			{}	{}					1021086		1			id_pose_5	1	id_look_4				{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021086	1002	7	{}		100	五河琴里	干得好！就这样继续下去。	1	{}			{}	{}					1021087		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_01_Kotori49.mp3													{}	{}					{}	{}		{}		
1021087	1002	7	{}		100	无名少女	但你要是有什么可疑的举动，我就在你身上开个洞。	1	{}			{}	{}					1021088		1			id_pose_10	1	id_look_6				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka22.mp3	1												{}	{}					{}	{}		{}		
1021088	1002	7	{}		100	1	okay，了解。	1	{}			{}	{}					1021089		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021089	1002	7	{}		100	无名少女	%s，你想怎么称呼我？我没有名字，你给我取个名字吧。	1	{}			{}	{}					1021090		1			id_pose_10	1	id_look_2				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka23.mp3	1												{}	{}					{}	{}		{}		
1021090	1002	7	{}		100	1	咿？我！？ 	1	{}			{}	{}					1021091		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021091	1002	7	{}		100	无名少女	唔，反正我没有打算与你之外的人说话。	1	{}			{}	{}					1021092		1			id_normal_6	1	0				{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka24.mp3	1												{}	{}					{}	{}		{}		
1021092	1002	7	{}		100	五河琴里	呜哇，这又是个大事!冷静下来%s。不要一着急说出奇怪的名字。	1	{}			{}	{}					1021093		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_01_Kotori50.mp3													{}	{}					{}	{}		{}		
1021093	1002	7	{}		100		少女正一边抱着手臂，一边用手指敲着胳膊等我回答。	1	{}			{}	{}					1021094		1			id_pose_11	1	id_look_3				{}											{}											{}															{}											1					{}	{}					{}	{}		{}		
1021094	1002	7	{}		100	1	[美佐子]，怎么样？	1	{}			{}	{}				1	1021095		1									{}											{}											{}															{}						sound/dating_sound/FB_eff05.mp3					1					{}	{}					{}	{}		{}		
1021095	1002	7	{}		100		她的眉毛拧成了一个结，看起来这个名字被拒绝了。	1	{}			{}	{}					1021096-1021097-1021098		1			id_normal_4		0				{}											{}											{}															{}											1					{}	{}					{}	{}		{}		
1021096	1002	7	{}		100		那，丽钟呢？	1	{}			{}	{}					1021099		1									{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
